SET
Pager usage is off.
CREATE VIEW
--- MANIFEST ROW COUNT ---
 function_rows 
---------------
            78

--- AGGREGATE MANIFEST HASH (md5 over sorted per-row text) ---
      manifest_aggregate_md5      
----------------------------------
 52696023ca621b4a8842f22febd58851

--- MANIFEST ROWS (deterministic order) ---
Output format is csv.
schema_name,function_name,identity_args,owner,language,prokind,security_definer,volatility,is_strict,parallel,leakproof,returns_set,proconfig_sorted,acl_expanded_sorted,nargs,nargdefaults,full_args,result_type,argmodes,allargtypes,argtypes,rettype,prosrc_md5,prosrc_len,probin_md5,functiondef_md5
public,gtrgm_same,"public.gtrgm, public.gtrgm, internal",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",3,0,"public.gtrgm, public.gtrgm, internal",internal,,,19842 19842 2281,internal,5b60e89adb1cae9e6b7e3b9e7512a859,10,5987d19cf03fe8483c6d7e0bb11ba2ba,f4cc5578236bf6accefb8a772a2112da
public,gtrgm_union,"internal, internal",supabase_admin,c,f,f,i,t,s,f,f,,"supabase_admin>PUBLIC:EXECUTE:false,supabase_admin>anon:EXECUTE:false,supabase_admin>authenticated:EXECUTE:false,supabase_admin>postgres:EXECUTE:false,supabase_admin>service_role:EXECUTE:false,supabase_admin>supabase_admin:EXECUTE:false",2,0,"internal, internal",public.gtrgm,,,2281 2281,public.gtrgm,ac59a0687df15075468862ca946ee148,11,5987d19cf03fe8483c6d7e0bb11ba2ba,b0ed52e23500e2c4e55743396994daf5
public,handle_new_user,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,ec4e014605a62a909996683383644737,614,d41d8cd98f00b204e9800998ecf8427e,4d8bae6dca80347a10b6e54fe28e7d5a
public,has_role,"_user_id uuid, _role public.app_role",postgres,sql,f,t,s,f,u,f,f,search_path=public,"postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",2,0,"_user_id uuid, _role public.app_role",boolean,,,2950 17567,boolean,9611bbd6cb1b15dc16e8b3056cd22c4d,93,d41d8cd98f00b204e9800998ecf8427e,7cacdc65f85f5ffec91c9e7f0bdaf383
public,is_event_member,_event_id uuid,postgres,sql,f,t,s,f,u,f,f,"search_path=""""","postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",1,0,_event_id uuid,boolean,,,2950,boolean,29d7b29011913ac46f7910c3eba6ec2c,260,d41d8cd98f00b204e9800998ecf8427e,79004437f6842cb242add5c1ed4f4830
public,is_event_owner,_event_id uuid,postgres,sql,f,t,s,f,u,f,f,"search_path=""""","postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",1,0,_event_id uuid,boolean,,,2950,boolean,0dad5714be24c350af0ec36af49492dd,110,d41d8cd98f00b204e9800998ecf8427e,bb5399c107909951198d160104fbe2ab
public,join_event_by_code,"_code text, _nickname text",postgres,plpgsql,f,t,v,f,u,f,f,"search_path=""""","postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",2,1,"_code text, _nickname text DEFAULT NULL::text",jsonb,,,25 25,jsonb,586bc3dd220d6d2babf0678618be653b,1671,d41d8cd98f00b204e9800998ecf8427e,deb34c93252aee1e69f6ef3877a3ab65
public,move_to_dlq,"source_queue text, dlq_name text, message_id bigint, payload jsonb",postgres,plpgsql,f,t,v,f,u,f,f,"search_path=""""","postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",4,0,"source_queue text, dlq_name text, message_id bigint, payload jsonb",bigint,,,25 25 20 3802,bigint,121ff5ca3d6e8e9fe91e278ab48a947a,459,d41d8cd98f00b204e9800998ecf8427e,50a0c37d0e0eba114187f6fece447aa4
public,normalize_text,_t text,postgres,sql,f,f,i,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",1,0,_t text,text,,,25,text,e862fbcc6fbb0bdf0a117350f117b5ba,73,d41d8cd98f00b204e9800998ecf8427e,d1313c96e359808375279fef8f4df780
public,on_event_join,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,0fd9a7ea502c808e512a1b2f84857757,125,d41d8cd98f00b204e9800998ecf8427e,a5974ef0c3783b98e6d300006c2bfaa3
public,on_song_request_insert,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,47673d004a9ec70f8af820f43db5690d,185,d41d8cd98f00b204e9800998ecf8427e,1ceb18c6597b087e971182a3c83b4254
public,on_song_request_status_change,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,4f91cc02672a439f23f963b04129a530,135,d41d8cd98f00b204e9800998ecf8427e,526f1de9071c1fc1db25b3c2d8c2b9af
public,on_vote_change,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,f8789f7bc9e9d3f38a578b35f666566d,141,d41d8cd98f00b204e9800998ecf8427e,bb0cde2c9bcebd62b02d040ea809756d
public,protect_profile_sensitive_columns,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,5c08bd8185433cbf2067948718233314,524,d41d8cd98f00b204e9800998ecf8427e,c1aefd01897aa38bd890912b2ada5db0
public,read_email_batch,"queue_name text, batch_size integer, vt integer",postgres,plpgsql,f,t,v,f,u,f,t,"search_path=""""","postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",3,0,"queue_name text, batch_size integer, vt integer","TABLE(msg_id bigint, read_ct integer, message jsonb)","{i,i,i,t,t,t}","{25,23,23,20,23,3802}",25 23 23,record,a50fdee3ce25df11533f1911c03f2e2b,192,d41d8cd98f00b204e9800998ecf8427e,c5bec084c6e89585ef17bf9a4ad2c434
public,recent_request_count,"_event_id uuid, _seconds integer",postgres,sql,f,t,s,f,u,f,f,search_path=public,"postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",2,1,"_event_id uuid, _seconds integer DEFAULT 30",integer,,,2950 23,integer,f94ead4918e059544f8d443fb7233cbc,174,d41d8cd98f00b204e9800998ecf8427e,b04c323d4164a244a03f864ee8d8dd56
public,regenerate_ingest_token,_event_id uuid,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",1,0,_event_id uuid,void,,,2950,void,4668a02bf1cfbcd8d38f5bdd727f057f,786,d41d8cd98f00b204e9800998ecf8427e,a7a0f5d33c88c4f8daaaafd9f98eed31
public,remove_my_song_request,_song_request_id uuid,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",1,0,_song_request_id uuid,void,,,2950,void,c781ab69492b2e26ccd18ec854e322a9,1702,d41d8cd98f00b204e9800998ecf8427e,ec8d7efe0db6a916a618585156f88cd7
public,reports_before_insert,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,fa26b00efe75d9aa49da49414a8335f4,311,d41d8cd98f00b204e9800998ecf8427e,b442b42164cd270cc45c142baec74f00
public,reports_before_update,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>PUBLIC:EXECUTE:false,postgres>anon:EXECUTE:false,postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,8ac05dd8ebe0460eb39989696abe4118,195,d41d8cd98f00b204e9800998ecf8427e,3b4219bc70940de13d2280211f756707
public,request_song,"_event_id uuid, _source_platform text, _source_song_id text, _title text, _artist text, _album text, _album_art_url text, _duration_ms integer, _preview_url text, _explicit boolean, _external_url text",postgres,plpgsql,f,t,v,f,u,f,t,"search_path=""""","postgres>authenticated:EXECUTE:false,postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",11,6,"_event_id uuid, _source_platform text, _source_song_id text, _title text, _artist text, _album text DEFAULT NULL::text, _album_art_url text DEFAULT NULL::text, _duration_ms integer DEFAULT NULL::integer, _preview_url text DEFAULT NULL::text, _explicit boolean DEFAULT false, _external_url text DEFAULT NULL::text","TABLE(outcome text, request_id uuid)","{i,i,i,i,i,i,i,i,i,i,i,t,t}","{2950,25,25,25,25,25,25,23,25,16,25,25,2950}",2950 25 25 25 25 25 25 23 25 16 25,record,9c4ca0d688f5b4300241c5da1d52e871,6506,d41d8cd98f00b204e9800998ecf8427e,67dbfcec9e1fd670588ef0aa056a4986
public,set_event_ended_at,,postgres,plpgsql,f,t,v,f,u,f,f,search_path=public,"postgres>postgres:EXECUTE:false,postgres>service_role:EXECUTE:false",0,0,,trigger,,,,trigger,445c20d9b4d2580b2fa655931fc9f950,224,d41d8cd98f00b204e9800998ecf8427e,49edc41b858b56464fdc2270c6ae567a
